Tipo,Numero,Ano,Edicao,Ano_Edicao,Contratante,Contratada,CNPJ,Objeto,Valor
CONTRATO,030,2025,1788,7,Município  de  Saquarema/,"Createch  Comércio  e  So-",25.406.063/0001-73.,"Aquisição de eletrodomésticos, para atender o Setor de Bolsa Família, CRAS e o CREAS.",20400.00
CONTRATO,031,2025,1788,7,Município  de  Saquarema/,"Creative  Licitações  LTDA",54.362.519/0001-49.,"Aquisição de eletrodomésticos, para atender a Secretaria Municipal de Desenvolvimento Social, o Setor e Bolsa Família, CRAS, CREAS, e o Centro de Capacitação Profissional.",144511.00
CONTRATO,032,2025,1788,7,Município  de  Saquarema/,"Invista Business Distribuido-",16.820.967/0001-50.,"Aquisição de eletrodomésticos, para atender a Secretaria Municipal de Desenvolvimento Social, o Setor de Bol- sa Família, CRAS, CREAS, e o Centro de Capacitação Profissional",23656.00
CONTRATO,033,2025,1788,7,Município  de  Saquarema/,"Nanetshop Comercio Audio-",52.823.703/0001-,"Aquisição de eletrodomésticos, para atender a Secretaria Municipal de Desenvolvimento Social, CRAS e o CRE- AS.",8960.00
CONTRATO,032,2025,1788,7,Município  de  Saquarema/,"Creative  Licitações  LTDA",54.362.519/0001-49.,"Aquisição de eletrodomésticos, para atender o Centro Dia do Idoso (Ba- caxá/Sampaio Corrêa/Jaconé), Lar dos Idosos, Praça Do Bem-Estar e o Centro de Convivência.",68592.00
CONTRATO,033,2025,1788,7,Município  de  Saquarema/,"Invista Business Distribuido-",16.820.967/0001-50.,"Aquisição de eletrodomésticos, para atender o Centro Dia do Idoso (Ba- caxá/Sampaio Corrêa/Jaconé), Lar dos Idosos, Praça Do Bem-Estar e o Centro de Convivência.",35402.00
CONTRATO,034,2025,1788,7,Município  de  Saquarema/,"M   Felipe   Galvão   LTDA",24.183.988/0001-30.,"Aquisição de eletrodomésticos, para atender o Centro Dia do Idoso (Ba- caxá/Sampaio Corrêa/Jaconé).",28380.00
CONTRATO,035,2025,1788,7,Município  de  Saquarema/,"Nanetshop Comercio Audio-",52.823.703/0001-,"Aquisição de eletrodomésticos, para atender o Centro Dia do Idoso (Ba- caxá/Sampaio Corrêa/Jaconé), Lar dos Idosos, Praça Do Bem-Estar e o Centro de Convivência.",5600.00
CONTRATO,036,2025,1788,7,Município  de  Saquarema/,"Createch  Comércio  e  So-",25.406.063/0001-73.,"Aquisição de eletrodomésticos, para atender o Centro Dia do Idoso (Ba- caxá/Sampaio Corrêa/Jaconé).",5100.00
ATA_REGISTRO_PRECOS,136,2025,1788,7,Município de Saquarema,"Registro de Preços",,"Contratação de empresa para fornecimento parcelado, pelo prazo de 12 (doze) meses, de gêneros alimentícios para atender as demandas da Secretaria Municipal da Mulher.",0.00
ATA_REGISTRO_PRECOS,136,2025,1788,7,Município de Saquarema,"Registro de Preços",,"Contratação de empresa para fornecimento parcelado, pelo prazo de 12 (doze) meses, de gêneros alimentícios para atender as demandas da Secretaria Municipal da Mulher. FORNECEDOR Razão Social: JSR PROD",26555.44
ATA_REGISTRO_PRECOS,137,2025,1788,7,Município de Saquarema,"Registro de Preços",,"Contratação de empresa para fornecimento parcelado, pelo prazo de 12 (doze) meses, de gêneros alimentícios para atender as demandas da Secretaria Municipal da Mulher 18 245189 CHÁ tipo erva doce, uso ",26555.44
ATA_REGISTRO_PRECOS,137,2025,1788,7,Município de Saquarema,"Registro de Preços",,"Contratação de empresa para fornecimento parcelado, pelo prazo de 12 (doze) meses, de gêneros alimentícios para atender as demandas da Secretaria Municipal da Mulher. Fornecedor Razão Social: WS ARASE",110054.46
TERMO_ADITIVO,106 (Aditivo 1),2024,1788,7,Município de Saquarema,"Antares  Educacional  LTDA",34.185.306/0001-81.,"Prorrogação da vigência e a su-",21000.00
ATA_REGISTRO_PRECOS,139,2025,1789,7,Município de Saquarema,"Registro de Preços",,"Contratação de empresa espe- cializada na locação de veículos leves (automóvel, caminhoneta e quadriciclo), motos aquáticas, motocicletas e serviços de manutenção preventiva e corretiva, com reposição",590248.56
ATA_REGISTRO_PRECOS,138,2025,1789,7,Município de Saquarema,"Registro de Preços",,"Contratação de empresa objeti- vando o fornecimento de camisas e cami- setas personalizadas, de caráter informa- tivo e ou institucional, em atendimento às necessidades da Secretaria Municipal da Mulh",150380.00
TERMO_ADITIVO,180 (Aditivo 2),2023,1789,7,Município de Saquarema,"Antares Educacional LTDA",34.185.306/0001-81.,"Prorrogação da vigência e a su-",195840.00
TERMO_ADITIVO,133 (Aditivo 5),2021,1790,7,Município de Saquarema,"Dady Ilha Soluções Integra-",08.540.992/0001-51.,"Prorrogação do contrato nº",1623981.05
TERMO_ADITIVO,152 (Aditivo 4),2021,1790,7,Município de Saquarema,"Ágora    Pesquisa    LTDA",19.557.018/0001-17.,"Prorrogação da vigência, redu-",80159.76
TERMO_ADITIVO,212 (Aditivo 4),2022,1791,7,Município de Saquarema,"Edna Rosa Neto Siciliano &",07.579.818/0001-50.,"Prorrogação ao contrato nº",4406708.38
